motor.left.target,motor.right.target
-40,-185
-45,-210
-53,-223
-68,-188
-83,-189
-88,-188
-99,-195
-110,-166
-131,-161
-107,-157
-111,-153
-130,-146
-110,-146
-108,-155
-119,-153
-114,-148
-107,-169
-107,-169
-106,-172
-92,-184
-79,-190
-87,-187
-92,-179
-83,-190
-93,-180
-91,-175
-93,-176
-93,-176
-95,-176
-95,-167
-105,-169
-107,-161
-104,-162
-108,-163
-111,-165
-112,-161
-111,-149
-107,-147
-112,-163
-113,-156
-113,-154
-112,-159
-112,-158
-115,-165
-117,-148
-119,-138
-123,-146
-125,-158
-125,-148
-119,-142
-119,-147
-122,-142
-125,-144
-123,-135
-122,-142
-128,-132
-131,-131
-131,-154
-123,-161
-132,-145
-133,-150
-128,-132
-129,-133
-130,-139
-131,-132
-137,-127
-137,-148
-131,-127
-126,-130
-131,-121
-132,-127
-136,-143
-136,-136
-142,-129
-129,-140
-135,-131
-133,-131
-138,-141
-136,-128
-139,-122
-124,-125
-137,-130
-129,-125
-126,-127
-131,-117
-131,-125
-128,-119
-158,-119
-154,-115
-156,-114
-170,-112
-147,-110
-158,-113
-169,-98
-168,-80
-183,-69
-184,-79
-182,-81
-172,-86
-172,-91
-163,-100
-161,-97
-163,-100
-163,-98
-167,-108
-165,-109
-158,-108
-158,-107
-156,-107
-165,-108
-157,-97
-163,-94
-169,-91
-166,-89
-161,-93
-159,-98
-158,-106
-164,-99
-162,-99
-156,-107
-153,-106
-148,-108
-148,-111
-137,-98
-24,-22
-24,-23
-24,-23
-24,-23
-24,-23
-24,-23
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-24,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
-23,-22
